id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,play_sound,set_filter_01,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
d_main_24_06_s_121,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_121,False,,5,idle,,3,good,,1,pain,,,,,,,,,,,black,black,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_122,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_122,False,,5,idle,,3,good,,1,pain,,,,,,,,,,,black,black,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_123,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_123,True,,5,idle,,3,good,,1,pain,,,,,,,,,,,30,30,2.0,,,,,,Blur_Low,,,
d_main_24_06_s_124,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_124,True,,5,idle,,3,good,,1,pain,,,,,,,,,,,30,30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_125,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_125,True,,5,idle,,3,good,,1,pain,,,,,,,,,,,30,30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_126,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_126,False,,5,idle,,3,good,,1,pain,,,,,,,,,,,30,30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_127,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_127,True,,5,idle,,3,good,,1,pain,,,,,,,,,,,30,300,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_128,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_128,True,,5,idle,,3,good,,1,pain,,,,,,,,,,,300,300,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_129,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_129,True,,5,idle,,3,good,,1,pain,,,,,,,,,,,300,300,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_130,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_130,True,,5,idle,,3,good,,1,pain,,,,,,,,,,,300,300,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_131,d_main_24_06_s,Monologue,,Monologue,Locale_MainScenario:d_main_24_06_s_131,False,,5,idle,,3,good,,1,pain,,,,,,,,,,,black,black,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_132,d_main_24_06_s,Self,,Self,Locale_MainScenario:d_main_24_06_s_132,False,,5,idle,,3,good,,1,pain,,,,,,,,,,,300,300,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_133,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_133,True,,5,idle,,3,surprise,,1,pain,,,,,,,,,,,300,30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_134,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_134,True,,5,idle,,3,surprise,,1,pain,,,,,,,,,,,30,30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_135,d_main_24_06_s,Self,,Self,Locale_MainScenario:d_main_24_06_s_135,False,,5,idle,,3,surprise,,1,pain,,,,,,,,,,,30,30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_136,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_136,False,,5,idle,,3,idle,,1,pain,,,,,,,,,,,30,30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_137,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_137,True,,5,idle,,3,smile,,1,pain,,,,,,,,,,,30,30,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_138,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_138,True,,5,idle,,3,smile,,1,pain,,,,,,,,,,,30,3,1.0,,,,,,Blur_Low,,,
d_main_24_06_s_139,d_main_24_06_s,Speech,crow,crow,Locale_MainScenario:d_main_24_06_s_139,True,,5,idle,,3,smile,,1,pain,,,,,,,,,,,3,3,1.0,,,,,,Blur_Low,,,
