id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,characters/2/hide_char_id,characters/3/hide_char_id
snowfall_episode_mica_07_123,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_130,True,,S_130,S_130,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_124,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_131,True,,S_130,S_130,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_125,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_132,True,,S_130,S_1300,1.0,,,,lumi_03,lumi_03,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_126,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_133,False,,black,black,1.0,sfx_scn_kiss,,,,,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_127,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_134,False,,black,black,1.0,sfx_scn_kiss,,,,,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_128,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_135,False,,black,black,1.0,,,,,,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_129,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_136,True,,150,150,1.0,,,,oldestsister,oldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_130,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_137,True,,10,10,1.0,,,,secondoldestsister,secondoldestsister,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_131,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_138,False,,black,black,1.0,sfx_scn_grab,,,,,,,,,,13,idle,,,,15,idle,,1,idle,Grey,,
snowfall_episode_mica_07_132,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_139,True,,black,black,1.0,,,,lumi_03,lumi_03,mica_w,1,special,,lumi_01,13,idle,,lumi_03,,15,idle,,1,idle,Grey,oldestsister,secondoldestsister
snowfall_episode_mica_07_133,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_140,True,,130,130,1.0,,,event_bgm_neverland_snowflakes_day,lumi_01,lumi_01,,1,special,black,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_134,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_141,True,,130,130,1.0,,,,lumi_01,lumi_01,,1,special,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_135,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_142,False,,130,113,1.0,,,,mica_w,mica_w,,1,special,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_136,80903,snowfall_episode_mica_07,Self,Locale_SubScenario:snowfall_episode_mica_07_143,False,,113,113,1.0,,,,,,,1,special,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_137,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_144,True,,113,113,1.0,,,,mica_w,mica_w,,1,cry,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_138,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_145,True,,113,113,1.0,,,,lumi_01,lumi_01,,1,cry,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_139,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_146,True,,113,113,1.0,,,,lumi_01,lumi_01,,1,cry,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_140,80903,snowfall_episode_mica_07,Speech,Locale_SubScenario:snowfall_episode_mica_07_147,True,,113,113,1.0,,,,mica_w,mica_w,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_141,80903,snowfall_episode_mica_07,Monologue,Locale_SubScenario:snowfall_episode_mica_07_148,False,,113,113,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
snowfall_episode_mica_07_142,80903,snowfall_episode_mica_07,Narration,Locale_SubScenario:snowfall_episode_mica_07_149,False,,black,black,1.0,,,,,,,1,delight,,,13,idle,,,,,,,,,,,
