id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,set_camera_shake
d_nikke_guilty_04_146,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_146,False,,10,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_147,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_147,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_148,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_148,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_149,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_149,False,,10,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_150,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_150,False,,10,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_151,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_151,True,,10,10,1.0,,,,guilty,guilty,,1,surprise,,,,,,,
d_nikke_guilty_04_152,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_152,False,,10,10,1.0,,,,guilty,,,1,surprise,,,,,,,
d_nikke_guilty_04_153,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_153,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_154,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_154,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_155,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_155,True,,10,10,1.0,,,,guilty,guilty,,1,idle,,,,,,,
d_nikke_guilty_04_156,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_156,False,,10,10,1.0,,,,guilty,,,1,idle,,,,,,,
d_nikke_guilty_04_157,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_157,True,,10,10,1.0,,,,guilty,guilty,,1,delight,,,,,,,
d_nikke_guilty_04_158,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_158,True,,10,10,1.0,,,,guilty,guilty,,1,delight,,,,,,,
d_nikke_guilty_04_159,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_159,True,,10,10,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_160,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_160,True,,10,10,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_161,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_161,True,,10,100,2.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_162,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_162,True,,100,100,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_163,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_163,True,,100,100,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_164,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_164,True,,100,100,1.0,,,,guilty,guilty,,1,shy,,,,,,,
d_nikke_guilty_04_165,d_nikke_guilty_04,Self,Locale_NikkeEpisode:d_nikke_guilty_04_165,False,,100,100,1.0,,,,guilty,,,1,shy,,,,,,,
d_nikke_guilty_04_166,d_nikke_guilty_04,Speech,Locale_NikkeEpisode:d_nikke_guilty_04_166,True,,100,100,1.0,,,,guilty,guilty,,1,shy,,,,,,,
