id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_signal_02_148,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_148,True,,XS_100,XS_100,1.0,,,,,d_nikke_signal_02_149,,1,idle,,,,,
d_nikke_signal_02_149,d_nikke_signal_02,Self,signal,,Locale_NikkeEpisode:d_nikke_signal_02_149,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_signal_02_150,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_150,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_signal_02_151,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_151,True,,XS_100,XS_10,1.0,,,,,,,1,shy,,,,,
d_nikke_signal_02_152,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_152,False,,XS_10,XS_10,1.0,,,,,,,1,shy,,,,,
d_nikke_signal_02_153,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_153,True,,XS_10,XS_10,1.0,,,,,,,1,angry,,,,,
d_nikke_signal_02_154,d_nikke_signal_02,Choice,signal,,Locale_NikkeEpisode:d_nikke_signal_02_154,False,,XS_10,XS_10,1.0,,,,,d_nikke_signal_02_156,,1,angry,,,,,
d_nikke_signal_02_155,d_nikke_signal_02,Choice,signal,,Locale_NikkeEpisode:d_nikke_signal_02_155,False,,XS_10,XS_10,1.0,,,,,d_nikke_signal_02_158,,1,angry,,,,,
d_nikke_signal_02_156,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_156,False,,XS_10,XS_100,0.5,,,,,,,1,idle,,,,,
d_nikke_signal_02_157,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_157,True,,XS_100,XS_100,1.0,,,,,d_nikke_signal_02_161,,1,idle,,,,,
d_nikke_signal_02_158,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_158,True,,XS_10,XS_100,2.0,,,,,,,1,idle,,,,,
d_nikke_signal_02_159,d_nikke_signal_02,Self,signal,,Locale_NikkeEpisode:d_nikke_signal_02_159,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_signal_02_160,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_160,False,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_signal_02_161,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_161,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_signal_02_162,d_nikke_signal_02,Self,signal,,Locale_NikkeEpisode:d_nikke_signal_02_162,True,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,,
d_nikke_signal_02_163,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_163,True,,XS_100,XS_10,1.0,,,,,,,1,delight,,,,,
d_nikke_signal_02_164,d_nikke_signal_02,Speech,signal,signal,Locale_NikkeEpisode:d_nikke_signal_02_164,True,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,
d_nikke_signal_02_165,d_nikke_signal_02,Self,,,Locale_NikkeEpisode:d_nikke_signal_02_165,False,,XS_10,XS_10,1.0,,,,,,,1,delight,,,,,
