id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,set_filter_01,play_sound,set_camera_shake
d_nikke_privaty_02_128,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_128,True,,S_100,S_10,0.5,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_129,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_129,,,S_10,S_10,1.0,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_130,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_130,True,,S_10,S_10,1.0,,,1,surprise,,,,,,,,,,,,,,,,
d_nikke_privaty_02_131,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_131,True,,S_10,S_10,1.0,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_132,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_132,True,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,,,,
d_nikke_privaty_02_133,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_133,False,,S_10,S_10,1.0,,,1,idle,,,,,,,,,,,,,,,,
d_nikke_privaty_02_134,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_134,True,,S_10,S_10,1.0,,,1,sad,,,,,,,,,,,,,,,,
d_nikke_privaty_02_135,d_nikke_privaty_02,Narration,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_135,,,S_10,S_100,0.5,,,1,sad,,,,,,,,,,,,,,,,
d_nikke_privaty_02_136,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_136,False,,S_100,S_10,0.5,,,1,surprise,,,,,,,,,,,,,,,,Low_2
d_nikke_privaty_02_137,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_137,,,S_10,S_10,1.0,,,1,surprise,,,,,,,,,,,,,,,,
d_nikke_privaty_02_138,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_138,True,,S_10,S_10,1.0,,,1,surprise,,,,,,,,,,,,,,,,
d_nikke_privaty_02_139,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_139,True,,S_10,S_100,2.0,,,1,idle,,,,,,,,,,,,,,,,
d_nikke_privaty_02_140,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_140,True,,S_100,S_100,1.0,,,1,idle,,,,,,,,,,,,,,,,
d_nikke_privaty_02_141,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_141,,,S_100,S_100,1.0,,,1,idle,,,,,,,,,,,,,,,,
d_nikke_privaty_02_142,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_142,True,,S_100,S_100,1.0,,,1,idle,,,,,,,,,,,,,,,,
d_nikke_privaty_02_143,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_143,,,S_100,S_100,1.0,,,1,idle,,,,,,,,,,,,,,,,
d_nikke_privaty_02_144,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_144,False,,S_100,S_10,0.5,,,1,surprise,,,,,,,,,,,,,,,,
d_nikke_privaty_02_145,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_145,,,S_10,S_10,1.0,,,1,surprise,,,,,,,,,,,,,,,,
d_nikke_privaty_02_146,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_146,True,,S_10,S_10,1.0,,,1,surprise,,,,,,,,,,,,,,,,
d_nikke_privaty_02_147,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_147,True,,S_10,S_10,1.0,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_148,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_148,True,,S_10,S_10,1.0,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_149,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_149,True,,S_10,S_10,1.0,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_150,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_150,,,S_10,S_10,1.0,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_151,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_151,True,,S_10,S_10,1.0,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_152,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_152,True,,S_10,S_10,1.0,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_153,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_153,,,S_10,S_10,1.0,,,1,shy,,,,,,,,,,,,,,,,
d_nikke_privaty_02_154,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_154,False,,S_10,S_100,2.0,,,1,idle,,,,,,,,,,,,,,,,
d_nikke_privaty_02_155,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_155,True,,black,black,1.0,,,1,sad,,,,,,,,,,,,,,,,
